Country,Clicks,Impressions,CTR,Position
Niger,0,4,0%,30
Timor-Leste,0,4,0%,55.5
Suriname,0,4,0%,69.25
San Marino,0,3,0%,1.67
Chad,0,3,0%,1.67
Malta,0,3,0%,3.67
Andorra,0,3,0%,24.33
St. Vincent & Grenadines,0,3,0%,36
Fiji,0,3,0%,53.67
Namibia,0,3,0%,56.67
Liechtenstein,0,2,0%,3
Greenland,0,2,0%,3.5
Guam,0,2,0%,4
Macau,0,2,0%,4
Haiti,0,2,0%,6.5
North Korea,0,2,0%,7.5
Zambia,0,2,0%,8.5
British Virgin Islands,0,2,0%,21
Sierra Leone,0,2,0%,39
Bermuda,0,2,0%,61.5
Curaçao,0,1,0%,1
Northern Mariana Islands,0,1,0%,1
U.S. Outlying Islands,0,1,0%,1
Comoros,0,1,0%,2
Burundi,0,1,0%,6
Gibraltar,0,1,0%,6
Cayman Islands,0,1,0%,8
Caribbean Netherlands,0,1,0%,10
Guadeloupe,0,1,0%,10
French Polynesia,0,1,0%,10
Sint Maarten,0,1,0%,10
Turks & Caicos Islands,0,1,0%,10
Solomon Islands,0,1,0%,19
Malawi,0,1,0%,20
Marshall Islands,0,1,0%,21
Vanuatu,0,1,0%,26
Guinea,0,1,0%,34
Djibouti,0,1,0%,53
Papua New Guinea,0,1,0%,54
